filtering	sequence filtering
edit	preprocessing
count	preprocessing
fastp	preprocessing
cutadapt	preprocessing
kneaddata	preprocessing
atropos	preprocessing
hifiadapterfilt	preprocessing
bowtie2	alignment
mapping	alignment (read mapping)
simka	distance measure
midas	profiling
humann	profiling
metaphlan	profiling
shogun	profiling
woltka	profiling
metamarker	profiling
flash	paired read merging
pear	paired read merging
ngmerge	paired read merging
bbmerge	paired read merging
pooling	coassembly setup
quast	assembling (quality check)
plass	assembling (protein-level)
spades	assembling
spades_metaviral	assembling (viruses)
spades_plasmid	assembling (plasmids)
spades_bio	assembling (biosynthetic gene clusters)
flye	assembling
canu	assembling
necat	assembling
megahit	assembling
unicycler	assembling
metawrap	binning
metawrap_binning	binning
metawrap_refine	binning
metawrap_reassemble	binning
metawrap_blobology	binning
metawrap_quantify	binning
metawrap_classify	binning
metawrap_annotate	binning
prodigal	annotation (protein prediction)
search_diamond	annotation (protein)
search_hmmer	annotation (protein)
barrnap	annotation (rRNA)
ccfind	annotation (circularity)
tiara	annotation (eukaryotic sequences)
antismash	annotation (antibiotics and secondary metabolite)
prokka	annotation (genome)
deeparg	annotation (ARGs)
metamarc	annotation (ARGs)
karga	annotation (ARGs)
kargva	annotation (ARGs)
abricate	annotation (ARGs)
amrplusplus2	annotation (ARGs)
integronfinder	annotation (integrons)
macsyfinder	annotation (macromolecular systems, pathways)
viralverify	annotation (virus)
coconet	annotation (virus)
threecac	annotation (virus)
plasforest	annotation (plasmid)
plasmidfinder	annotation (plasmid)
mobsuite	annotation (plasmid)
drep	MAG (dereplication)
gtdbtk	MAG (quality check)
checkm	MAG (quality check)
checkm_tetra	MAG (quality check)
checkm_tree	MAG (quality check)
checkm_treeqa	MAG (quality check)
checkm_lineageset	MAG (quality check)
checkm_analyze	MAG (quality check)
checkm_qa	MAG (quality check)
checkm_coverage	MAG (quality check)
checkm_unbinned	MAG (quality check)
checkm2	MAG (quality check)
lorikeet	strain-level analysis
lorikeet_call	strain-level analysis (reassembly-based variant calling)
lorikeet_consensus	strain-level analysis (genomes consensus)
lorikeet_genotype	strain-level analysis (genotyping and abundance)
strainphlan	strain-level analysis
instrain	strain-level analysis
